物件ID,行動名單,名稱,社區,公開地址,行政區,產品階段,住宅類型,登記用途,格局,樓層,總樓層,屋齡(年),電梯,管理費,最低刊登價(萬),最高刊登價(萬),有車位,總價含車位,車位價(萬),車位必買,預算判斷(8000萬),可確認總價(萬),預算判斷說明,主建物(坪),附屬建物(坪),主+附(坪),平台僅揭露之主+附合計(坪),共有部分(坪),車位(坪),權狀總坪,A口徑(主建物>=26),B口徑(主+附>=26),面積標示,最近出入口,步行公尺(估算),步行分鐘(估算),步行測量方式,位置精度,開價÷主建物(萬/坪),扣車位建坪單價(萬/坪),可售狀態,平台數,平台與物件編號,原始網址,查閱時間,臨路或巷內,主要生活機能,已深度查核,第一輪,主要優點,主要疑慮,待確認事項
XA-011,優先看屋,東區忠孝一巷人潮無限,,臺北市大安區忠孝東路4段,大安區,中古屋,電梯大樓,住家用,1廳2衛,1,7,46.5,有,"每戶2,500(元)/月",6988,6988,無,,,,符合,6988,"無車位，總價：6,988 萬 ≤ 預算 8,000 萬",30.33,6.14,36.47,,1.15,,37.62,符合,符合,主建物符合 26 坪,1,974.4,12.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,230.40,185.75,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:1880888,https://buy.cthouse.com.tw/house/1880888.html,2026-09-20T13:29:01+08:00,,,,,公設比低（約 3%）,屋齡 46.5 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-012,優先看屋,獨家東區商圈大面寬美廈,,臺北市大安區敦化南路1段,大安區,中古屋,電梯大樓,集合住宅,5房2廳2衛,2,6,50,有,"每戶4,000(元)/月",7998,7998,有,是,300,,符合,7998,"含車位總價：7,998 萬 ≤ 預算 8,000 萬",72.79,,,,,10.97,83.77,符合,符合,主建物符合 26 坪,1,935.8,12,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,105.76,105.74,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:1902379,https://buy.cthouse.com.tw/house/1902379.html,2026-09-20T13:29:28+08:00,,,,,主建物 72.79 坪，高於門檻 46.8 坪,屋齡 50 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,附屬建物坪數未揭露
XA-013,優先看屋,專約大安區雙捷運五房,,臺北市大安區樂業街,大安區,中古屋,公寓,住家用,5房2廳3衛,5,5,45.58,無,,2750,2750,有,否,,否,符合,2750,"房屋總價（車位選配）：2,750 萬 ≤ 預算 8,000 萬",27.47,8.04,35.51,,2.42,,37.93,符合,符合,主建物符合 26 坪,2A,1132.5,14.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,100.11,72.50,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:1930060,https://buy.cthouse.com.tw/house/1930060.html,2026-09-20T13:23:57+08:00,,,,,公設比低（約 6%）,屋齡 45.58 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；車位面積未揭露：無法確認權狀坪數中有多少是車位；管理費未揭露
XA-014,先補資料再決定,信義安和電梯美三房,,台北市大安區文昌街,大安區,中古屋,華廈,住家用 ／ 住家,3房2廳2衛,2,7,45.2,有,每月約 800 元。,3688,3688,無,,,,符合,3688,"無車位，總價：3,688 萬 ≤ 預算 8,000 萬",24.23,3.67,27.9,,6.05,,33.95,不符合,符合,主＋附符合26坪；主建物未達26坪,4,439.2,5.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,152.21,108.63,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:1944944 | 東森房屋:745373 | 住商不動產:OS215578 | 信義房屋:2176JQ,https://buy.cthouse.com.tw/house/1944944.html | https://www.etwarm.com.tw/houses/buy/745373 | https://www.hbhousing.com.tw/detail?sn=OS215578 | https://www.sinyi.com.tw/buy/house/2176JQ,2026-09-20T13:28:21+08:00 | 2026-09-20T13:24:23+08:00 | 2026-09-20T13:26:17+08:00 | 2026-09-20T13:25:52+08:00,,,,,步行約 5.5 分，屬優先範圍,屋齡 45.2 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-015,優先看屋,藍天凱悅｜藍天凱悅,藍天凱悅,台北市大安區敦化南路二段,大安區,中古屋,電梯大樓,住家用,2房2廳2衛,5,26,40.8,有,"每月約 4,090 元。",4980,4980,無,,,,符合,4980,"無車位，總價：4,980 萬 ≤ 預算 8,000 萬",28.89,5.27,34.16,,6.89,,41.04,符合,符合,主建物符合 26 坪,2A,848.9,11,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,172.38,121.35,研究日查得刊登頁，實際可售狀態待確認,3,中信房屋:1980230 | 信義房屋:9445KN | 永慶房屋:7496275,https://buy.cthouse.com.tw/house/1980230.html | https://www.sinyi.com.tw/buy/house/9445KN | https://buy.yungching.com.tw/house/7496275,2026-09-20T13:27:25+08:00 | 2026-09-20T13:28:14+08:00 | 2026-09-20T13:29:18+08:00,,,,,總價 4980 萬，保留較多預算空間,屋齡 40.8 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-016,目前不符合條件,附中高樓可住辦有坡車,,台北市大安區復興南路一段,大安區,中古屋,電梯大樓,住家用,1房(室)1廳2衛,9,14,47.67,有,2540元/每月,5200,5999,有,是,,,符合,5999,"含車位總價：5,999 萬 ≤ 預算 8,000 萬",33.77,6.95,40.72,,4.92,,45.63,符合,符合,主建物符合 26 坪,1,1229.4,15.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,,,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:1988975 | 住商不動產:WS33747,https://buy.cthouse.com.tw/house/1988975.html | https://www.hbhousing.com.tw/detail?sn=WS33747,2026-09-20T13:29:50+08:00 | 2026-09-20T13:28:38+08:00,,,,,主建物 33.77 坪，高於門檻 7.8 坪,步行超過 15 分鐘,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；總價含車位，但車位價格未拆分：無法計算扣車位後單價；車位面積未揭露：無法確認權狀坪數中有多少是車位；各平台開價不一致（5200～5999 萬）：需確認屋主實際委託價
XA-017,先補資料再決定,信義安和站．通化獨棟大面寬一樓,,臺北市大安區通化街,大安區,中古屋,其他(住店),商業用,3房3廳5衛,1,5,42.25,,,6780,6780,無,,,,符合,6780,"無車位，總價：6,780 萬 ≤ 預算 8,000 萬",32.59,3.54,36.13,,4.46,,40.58,符合,符合,主建物符合 26 坪,4,657,8.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,208.04,167.08,研究日查得刊登頁，實際可售狀態待確認,1,中信房屋:1989506,https://buy.cthouse.com.tw/house/1989506.html,2026-09-20T13:29:56+08:00,,,,,主建物 32.59 坪，高於門檻 6.6 坪,住宅用途待確認,登記用途含非純住家項目（商業用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋；管理費未揭露
XA-018,目前不符合條件,中南大廈｜大安捷運站高樓景觀宅,中南大廈,台北市大安區復興南路一段,大安區,中古屋,電梯大樓,住家用,6房(室)--廳2衛,13,14,47.7,有,3900元/每月,4899,4899,無,,,,符合,4899,"無車位，總價：4,899 萬 ≤ 預算 8,000 萬",35.25,2.84,38.09,,5.03,,43.12,符合,符合,主建物符合 26 坪,1,1229.9,15.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,138.98,113.61,研究日查得刊登頁，實際可售狀態待確認,4,中信房屋:1999521 | 住商不動產:WS53132 | 信義房屋:8191FM | 永慶房屋:5307553,https://buy.cthouse.com.tw/house/1999521.html | https://www.hbhousing.com.tw/detail?sn=WS53132 | https://www.sinyi.com.tw/buy/house/8191FM | https://buy.yungching.com.tw/house/5307553,2026-09-20T13:29:54+08:00 | 2026-09-20T13:28:43+08:00 | 2026-09-20T13:28:09+08:00 | 2026-09-20T13:32:10+08:00,,,,,主建物 35.25 坪，高於門檻 9.2 坪,步行超過 15 分鐘,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-019,優先看屋,東區捷運雙併美廈,,台北市大安區忠孝東路四段,大安區,中古屋,華廈,住家用,4房2廳2衛1室,5,7,50.33,有,"每月約 1,500 元。",4598,4598,無,,,,符合,4598,"無車位，總價：4,598 萬 ≤ 預算 8,000 萬",39.08,4.68,43.76,,,,43.76,符合,符合,主建物符合 26 坪,1,1020.4,13,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,117.66,105.07,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2004337 | 信義房屋:4830AS,https://buy.cthouse.com.tw/house/2004337.html | https://www.sinyi.com.tw/buy/house/4830AS,2026-09-20T13:23:40+08:00 | 2026-09-20T13:27:34+08:00,,,,,主建物 39.08 坪，高於門檻 13.1 坪,屋齡 50.33 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-020,先補資料再決定,通化好停車邊間一樓,,台北市大安區通化街,大安區,中古屋,公寓,住商用,0房0廳1衛,1,5,45.42,無,,4288,4288,無,,,,符合,4288,"無車位，總價：4,288 萬 ≤ 預算 8,000 萬",23.03,22.27,45.3,,,,45.3,不符合,符合,主＋附符合26坪；主建物未達26坪,4,368.7,5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝台灣房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,186.19,94.66,研究日查得刊登頁，實際可售狀態待確認,2,中信房屋:2015632 | 台灣房屋:TA02333942,https://buy.cthouse.com.tw/house/2015632.html | https://www.twhg.com.tw/buy/TA02333942,2026-09-20T13:28:47+08:00 | 2026-09-20T13:25:45+08:00,,,,,步行約 5 分到捷運出入口,住宅用途待確認,現況是否為隔套收租產品待確認；登記用途含非純住家項目（住商用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋；管理費未揭露
XA-021,先補資料再決定,延吉美妝大庭院一樓,,台北市大安區延吉街,大安區,中古屋,華廈,店舖.辦公室 ／ 商業用 ／ 商業用或辦公室,3室2廳2衛,1,7,44.9,有,700元/每月,4880,4880,無,,,,符合,4880,"無車位，總價：4,880 萬 ≤ 預算 8,000 萬",29.33,3.69,33.02,,4.23,,37.25,符合,符合,主建物符合 26 坪,5,405.8,5.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝中信房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,166.38,131.01,研究日查得刊登頁，實際可售狀態待確認,3,中信房屋:2025797 | 住商不動產:ZS147514 | 有巢氏房屋:5270232,https://buy.cthouse.com.tw/house/2025797.html | https://www.hbhousing.com.tw/detail?sn=ZS147514 | https://buy.u-trust.com.tw/house/5270232,2026-09-20T13:28:25+08:00 | 2026-09-20T13:26:13+08:00 | 2026-09-20T13:33:18+08:00,,,,,公設比低（約 11%）,住宅用途待確認,登記用途含非純住家項目（店舖.辦公室、商業用、商業用或辦公室）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
